junction,incident_count,avg_res_time,risk_score
MeenakshiMallJunc,1,70.00420463333333,6.54223175620307
BasaweshwaraCircle,2,69.363915825,6.520959773690888
MysoreRd-RingRdJunc(Nayandanahallii),7,67.27367504285714,6.517840558218128
BagalurCrossJunc,10,65.57935095166667,6.475072414728246
HunsemarammanahalliJunction,3,68.18757808888888,6.449884063100324
LalbaghMainGateJunc,3,64.87881214444444,6.142470185685698
ItmaduJunction,5,63.61541661,6.101522589400218
LRDE Junction,4,63.32632379583333,6.036446727136515
SafinaPlazaJunc,1,64.51499301666666,6.032235021661536
BDA Junctio-Koramangala,1,64.20182368333333,6.003138796463436
GopalGowdaJUnc,1,64.04493938333333,5.98856284525436
YelhankaBypass,8,61.03311413541667,5.976253331451783
"Trilight Circle,Race course Road",1,63.35080513333333,5.924071580286804
Devasandra(k r puram),11,58.99341445909091,5.901396714623661
KonanakunteJunction(KanakapurarRd),3,61.61586173888889,5.839312980605158
KundanahalliGateJunc,4,60.580020000000005,5.781290601677366
Dr TCM RoyanRd near AmbedkarStatue,4,60.56926171666667,5.780291061169105
DhobiGhatJunc,1,61.66422065,5.767372833891824
BMTCJunction-K H Road,6,59.49391282222222,5.756814675512544
JayadevaHospitalJunc,4,59.838151087499995,5.7123643606696195
Kadubeesanahalli-ORR Junc,7,58.59659484047619,5.711662389547607
HSR14thMainJunc,2,60.44188096666667,5.692023131969855
HainsJunc,2,60.30459390833333,5.6792679393603684
Basappa Circle Junction,1,60.6943697,5.6772650275193755
PotteryCircle,2,59.477190324999995,5.602394764282414
KhodaysCircle(DV UrsCircle),9,55.8920162425926,5.536816028273928
K R Circle,12,54.5609064861111,5.52779373711698
EliteJunc,4,57.5263088375,5.4975735891323545
Sumanhalli,8,55.87825074166666,5.497320529911033
AyyappaTempleJunc,8,55.87435383333333,5.4969584723582186
RingRoad-UllalJunction,3,57.922773372222224,5.496192121198927
SindhiColonyJunction,2,58.10289479166667,5.474710447618989
MargosaRd-18thCrossJunc,2,58.04921425833332,5.469723047128665
IndianExpressJunction,3,56.90909503333334,5.402012359365888
StateBankofMysoreJunc,7,54.14888286666667,5.298430264202514
Kammanahalli-RingRoadJunction,2,55.73485658333334,5.254698570166001
17th Mn 1st Crs Aishwarya Stores Jn,1,55.782216733333335,5.220882190143944
GoruguntepalyaJunc,11,51.451884112121206,5.200721259022258
Shivajinagar(BRV)Junction,6,53.185186325,5.170677696764988
TyagiHengalvarayaJunc(DickensonRd),1,55.216074733333336,5.1682825471623985
JP Nagar 15th cross junction,4,53.282594129166675,5.103294629836167
TrinityCircle,3,53.30502837222222,5.0671624106672715
HoodiJunction,2,53.34672033333334,5.032819405325228
MintoJunction,2,53.284938925000006,5.027079361270503
YediyurMeternityHospital,1,53.0065693,4.962999778953865
LeprosyhospitalJunc,9,49.49472345555555,4.942450451004341
BhadrappaLayout,1,52.3450849,4.9015419763568815
WilsonGarden10thCrossJunc,2,51.845907625,4.8933805143040745
N R SquareJunc,6,50.16203198888889,4.889799686022891
Malleswaram18thCrossRd-SampigeRdJunc,2,51.778375716666666,4.887106197492751
ShantalaJunction,5,50.21128034666666,4.856158737350188
ElectronicCityGate-2Junc,4,50.44022294166666,4.839212986567288
